catalog_id,local_course_id,subjectarea_id,school_id,Alcohol and Drug Addiction Counseling,prefix,code,section,title,description,prerequisites,corequisites,generaleducation_id,level,instructor,credits,start_date,end_date,books_url,registration_url,active,course_method,seats_available,class_full
8,20FA_COB_COMM301_OLA,,SUNY Cobleskill,Communications,COMM,301,OLA,Technical Communication,"Technical communication concentrates on writing for professional situations, as well as upper-level research. It covers research, analysis and presentation of data, form and content of formal and informal reports, letters and resumes. Group work is required, as are presentations.",ENGL 101 or ENGL 201,,,Upper Level Undergraduate,Erik Hage,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_COMM301_OLB,,SUNY Cobleskill,Communications,COMM,301,OLB,Technical Communication,"Technical communication concentrates on writing for professional situations, as well as upper-level research. It covers research, analysis and presentation of data, form and content of formal and informal reports, letters and resumes. Group work is required, as are presentations.",ENGL 101 or ENGL 201,,,Upper Level Undergraduate,Erik Hage,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_COMM301_OLC,,SUNY Cobleskill,Communications,COMM,301,OLC,Technical Communication,"Technical communication concentrates on writing for professional situations, as well as upper-level research. It covers research, analysis and presentation of data, form and content of formal and informal reports, letters and resumes. Group work is required, as are presentations.",ENGL 101 or ENGL 201,,,Upper Level Undergraduate,Erik Hage,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_COMM301_OLD,,SUNY Cobleskill,Communications,COMM,301,OLD,Technical Communication,"Technical communication concentrates on writing for professional situations, as well as upper-level research. It covers research, analysis and presentation of data, form and content of formal and informal reports, letters and resumes. Group work is required, as are presentations.",ENGL 101 or ENGL 201,,,Upper Level Undergraduate,Erik Hage,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_COMM310_OLN,,SUNY Cobleskill,Communications,COMM,310,OLN,Sel Top-FilmComedy&AmerCulture,"This course will explore, in depth, a particular issue in communications. Themes of the course will change each semester in which it is offered and will be announced prior to registration.",,,,Upper Level Undergraduate,Douglas MacLeod,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_COMM315_OLA,,SUNY Cobleskill,Criminal Justice/Criminology,COMM,315,OLA,Contemporary Issues Mass Media,"This is a media literacy course that examines mass media's relationship with society in intellectual, economic, political, and social contexts. It requires research projects, presentations, classroom discussion and extensive readings and observations of mass media outlets. It is for upper-level communications majors and students in all bachelors programs. Of particular interest will be the corporate culture of media, particularly media consolidation, as well as government regulation. Burgeoning internet media will also be a focus, including news blogging and the controversy over Network Neutrality. We will also examine media bias, the relationship between a healthy press and democracy, and other controversies and legislation (Telcom Act of 1996, Fairness Doctrine, etc). In addition, the course will explore key issues regarding print, radio, TV, and film.",ENGL 101 or higher,,,Upper Level Undergraduate,Erik Hage,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_CYBR450_OLN,,SUNY Cobleskill,Early Childhood Education,CYBR,450,OLN,Mgmt of Information Security,"This course is designed to present the management aspects of security for global information systems. Information security is viewed with respect to natural and human-generated threats. The material covered addresses information system security planning, development of security policies and programs, risk assessment, risk management, disaster recovery, business continuity, and personnel issues. Examples of real world information security issues and practices implemented in today's business environment, as well as government security laws, are presented.",BADM 300,,,Upper Level Undergraduate,Giacomo Rivituso,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_ECHD352_OLN,,SUNY Cobleskill,Early Childhood Education,ECHD,352,OLN,Positive Child Guidance,"An examination of the principles and practices consistent with professional guidelines for developmentally appropriate child guidance and classroom management in early care and education programs. Includes discussions and practical experiences related to positive guidance and management strategies for work with groups and with individual children, family involvement, and environment, staffing patterns, scheduling, professional development of staff, conflict resolution and reflective teaching.",ECHD 170 and ECHD 130 or ECHD 190,,,Upper Level Undergraduate,Carol Lamont,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_ECHD450_OLN,,SUNY Cobleskill,English & Literature,ECHD,450,OLN,Infant-EC Mental Health,"This course addresses theory and practice in Infant-Early Childhood Mental Health (I-ECMH), including assessment and interventions to promote the social-emotional well-being of young children (prenatal - 5 years) within the context of their primary relationships.",ECHD 170 with a grade of C or ECHD 175 with a grade of C,,,Upper Level Undergraduate,Carol Morris,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
8,20FA_COB_ENGL320OLA,,SUNY Cobleskill,English & Literature,ENGL,320,OLA,Nature Writing,"This course is designed to introduce the student to the genre of Nature Writing. Against the backdrop of a variety of readings in the genre, consideration of other art forms, as well as theoretical writings on the relationship of humankind to the environment, students will explore their own relationship with the natural world through writing spontaneous, observational and theoretical pieces as well as developing a project in their artistic medium.",ENGL 101 with a grade of C- and another other literature and writing courses besides ENGL 100,,Humanities,Upper Level Undergraduate,Kathy Johnson,3,8/24/20,12/11/20,https://cobleskill.ecampus.com/,https://www.cobleskill.edu/admissions/part-time.aspx,TRUE,Online,,
